Тип,Название,Количество,Вопрос,Ответ
Локация,Московский офис,49,,
Локация,Завод Тосно,4,,
Локация,Домашний офис,29,,
Локация,Торговый офис,4,,
Локация,Завод Коломна,5,,
Локация,Завод Ногинск,7,,
Локация,Завод Энгельс,9,,
Локация,Завод Ставрополь,4,,
Локация,Завод Пермь,8,,
Локация,Склад Хлебниково,1,,
Локация,Завод Челябинск,2,,
Локация,Завод Новосибирск,2,,
Вопрос,,1,Оцените работу Bitrix24,Не работает 
Вопрос,,1,Оцените работу Bitrix24,Еще не использовала
Вопрос,,1,Оцените работу Bitrix24,"Так как внедрили относительно недавно, трудно дать оценку, Потому ставлю авансом)"
Вопрос,,1,Оцените работу Bitrix24,Не работаю с Bitrix24
Вопрос,,24,Оцените работу Bitrix24,-
Вопрос,,1,Оцените работу Bitrix24,не работаю с Битрикс
Вопрос,,2,Оцените работу Bitrix24,не работаю в Bitrix24
Вопрос,,1,Оцените работу Bitrix24,Пока в этой программе не работаю
Вопрос,,1,Оцените работу Bitrix24,Ее работаю в битрикс
Вопрос,,1,Оцените работу Bitrix24,Установил. Запустил. Зависла. Перезашел. Кроме Иерархии сотрудников нет ничего.
Вопрос,,1,Оцените работу Bitrix24,Не могу войти в программу. Презентация не помогла. 
Вопрос,,2,Оцените работу Bitrix24,не пользуюсь
Вопрос,,2,Оцените работу Bitrix24,не работаю
Вопрос,,1,Оцените работу Bitrix24,Пока не понятно.
Вопрос,,1,Оцените работу Bitrix24,Не работал
Вопрос,,1,Оцените работу Bitrix24,не использую
Вопрос,,1,Оцените работу Bitrix24,пока не могу сказать
Вопрос,,1,Оцените работу Bitrix24,Пока не сильно погрузился и на этом этапе ок
Вопрос,,1,Оцените работу Bitrix24,Битрикс еще не открывался мной
Вопрос,,1,Оцените работу Bitrix24,нет доступа к Битрикс 
Вопрос,,1,Оцените работу Bitrix24,Пока никто не пользуется 
Вопрос,,1,Оцените работу Bitrix24,"не могу оценить, нет опыта"
Вопрос,,1,Оцените работу Bitrix24,небольшой опыт пользования
Вопрос,,1,Оцените работу Bitrix24,NA
Вопрос,,1,Оцените работу Bitrix24,"Основной интерфейс требует привычки, но терпимо.
На данный момент отсутствуют оповещения на почту (хотя и обещали, что их запустят)
Отсутствует аналог интеграции Яндекс Трекера и Яндекс Форм (хотя кормят обещаниями, что есть какие-то наработки и с ними работают, даже демонстрации не предоставляли!)"
Вопрос,,1,Оцените работу Bitrix24,.
Вопрос,,1,Оцените работу Bitrix24,"не использую, не могу оценить"
Вопрос,,1,Оцените работу Bitrix24,"Не могу оценить, только прошла регистрацию. Еще не работала в данной программе. Надо разбираться."
Вопрос,,1,Оцените работу Bitrix24,"Не создаются Шаблоны, которые видны другим участникам."
Вопрос,,1,Оцените работу Bitrix24,еще не пользовалась
Вопрос,,1,Оцените работу Bitrix24,Битрикс так и не появился в предложениях установки ПО в системе. проверяли.
Вопрос,,1,Оцените работу Bitrix24,Не пользуюсь этим функционалом
Вопрос,,1,Оцените работу Bitrix24,не использую в работе
Вопрос,,1,Оцените работу Bitrix24,еще не использовал
Вопрос,,1,Оцените работу Bitrix24,Желательно пересмотреть возможность перехода на SAP либо СЭД
Вопрос,,1,Оцените работу Bitrix24,не пользуюсь 
Вопрос,,1,Оцените работу Bitrix24,Не пользовался еще
Вопрос,,1,Оцените работу Bitrix24,Пока не работаю
Вопрос,,1,Оцените работу Bitrix24,по кнопке войти приложение десктоп так и не открылось спустя многочисленные попытки
Вопрос,,124,Набрано баллов,0
Вопрос,,124,Всего баллов,0
